Station,Long,Lat,Depth,Duration,TowLength,Images,Area,Bryozoa,Anemones,Gorgonians,Mushroom Corals,Cauliflower Corals,Feather Stars,Sponges
2017_PA_01_030,-55.122,64.58,401,15,402,23,189,0.11,0.64,0.01,0,2.92,0.08,1.91
2018_SA_11_035,-54.871,64.409,446,15,415,44,362,0.06,0.03,0.25,0,1.74,0.01,0.72
2018_SA_11_086,-55.04,64.576,321,46,1500,131,1078,0.14,8.92,0,0,0.65,0,0.42
2018_SA_11_087,-55.154,64.535,585,48,1835,133,1095,0.04,0.18,0.03,0.89,2.41,1.69,0.7
2018_SA_11_111,-54.956,64.472,391,30,1129,77,634,0.06,0.21,0.05,0,2.3,0.02,1.06
2018_SA_11_112,-55.062,64.488,579,30,978,81,667,0,0.07,0.05,0.88,0.67,1.42,0.41
2018_SA_11_113,-54.638,64.335,561,30,982,84,691,0.01,0.05,0.04,0.03,0.2,0.09,0.78
2018_SA_11_119,-54.155,64.243,415,30,975,110,905,0,0.01,0,0.01,0.28,0.05,1.6
2018_SA_11_120,-53.93,64.246,314,30,915,107,881,2.26,0.01,0,0,2.18,0,0.77
2018_SA_11_121,-53.917,64.185,557,15,481,37,305,0,0,0.03,0.02,0.06,0.54,0.88
2019_HM_02_199,-55.171,64.771,537,19,634,59,486,0.01,0.14,0,0.01,0.04,0.35,0.48
2019_HM_02_200,-55.123,64.717,368,15,416,39,321,0.01,0.39,0.02,0,2.3,0.01,1.1
2019_HM_02_201,-55.187,64.644,482,17,490,22,181,0,0.03,0.01,0,0.96,0.53,0.75
2019_SA_04_006,-54.721,64.817,274,17,561,60,494,0,0.01,0,0,0.1,0,1.45
2019_SA_04_007,-55.1,64.79,390,15,485,60,494,0.02,0.23,0,0,2.31,0.02,0.98
2019_SA_04_008,-54.865,64.702,287,15,539,63,518,1.5,0.01,0,0,0.03,0,0.86
2019_SA_04_010,-54.936,64.663,293,15,696,53,436,0,0,0,0,0.24,0,0.7
2019_SA_04_011,-55.053,64.579,315,15,488,56,461,0,10.94,0,0,1.37,0,0.37
