#id	taxon	lon	lat
93600014	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	37.08	-7.25
62609730	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.93	-7
62608853	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	35.75	-6.18
62609630	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.96	-8.32
93601295	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.22	-4.43
93600351	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.53	-8.55
93600789	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.28	-4.32
93600046	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.5	-8.96
62609469	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.52	-6.65
93600308	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.15	-9.12
93600784	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.2	-4.4
93600791	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.5	-3.8
93600016	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	37.67	-6.82
93599016	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.14	-9.04
93600999	Diospyros loureiriana G. Don	39.3	-10.3
93600321	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.53	-8.48
93600798	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.42	-4.2
93600342	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.92	-6.77
93600781	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.35	-4.1
93600011	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.25	-6.8
62609628	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.57	-6.28
62608544	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	36.72	-8.68
93600412	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.82	-6.93
93600015	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.53	-8.48
93600381	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.13	-8.62
62607967	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	37.2	-7.3
93600795	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.2	-4.52
68702973	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.82	-4.83
93600373	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.53	-8.48
93600020	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	34.5	-7.58
93600319	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	37.53	-6.45
93601285	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.32	-4.13
93601275	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.92	-6.77
93600010	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	37.8	-6.83
93601290	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.52	-10.52
201963229	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	37.58	-6.83
93600409	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	34.32	-8.68
93600018	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.22	-6.68
93600013	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.25	-6.8
93600375	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.47	-5.15
62609603	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.82	-4.84
93600379	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	37.08	-7.25
93600300	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.19	-10.18
93600646	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.16	-10.21
62609449	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	36.5	-8.57
93600347	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.5	-4.8
93600418	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.92	-6.77
93600017	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	37.68	-7.03
93600328	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.22	-6.68
93600059	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.32	-4.13
93601288	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.47	-5.15
93600012	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.75	-4.97
93601293	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.75	-8.02
93601283	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	39.47	-3.87
93600066	Diospyros loureiriana subsp. rufescens (Caveney) Verdc.	38.75	-6.32
217388156	Diospyros loureiriana	36.4978	-8.56639
217388177	Diospyros loureiriana	38.5333	-8.55
217388183	Diospyros loureiriana	38.8167	-6.93333
217386742	Diospyros loureiriana	38.9333	-7
217388159	Diospyros loureiriana	38.5667	-6.28333
217388168	Diospyros loureiriana	37.6833	-7.03333
217388158	Diospyros loureiriana	38.8167	-4.83333
217388160	Diospyros loureiriana	38.9608	-8.31583
217388163	Diospyros loureiriana	37.8	-6.83333
217387337	Diospyros loureiriana	37.6667	-6.81667
217388178	Diospyros loureiriana	38.5333	-8.48333
217388182	Diospyros loureiriana	34.3167	-8.68333
217388176	Diospyros loureiriana	38.5	-4.8
217388162	Diospyros loureiriana	39.14	-9.04278
217387417	Diospyros loureiriana	38.75	-6.31667
217388169	Diospyros loureiriana	39.2167	-6.68333
217388171	Diospyros loureiriana	37.5333	-6.45
217388175	Diospyros loureiriana	38.9167	-6.76667
217388157	Diospyros loureiriana	38.5167	-6.65
217388164	Diospyros loureiriana	39.25	-6.8
217388170	Diospyros loureiriana	34.5	-7.58333
217388166	Diospyros loureiriana	37.0833	-7.25
217388173	Diospyros loureiriana	37.5833	-6.83333
217388172	Diospyros loureiriana	38.5333	-8.48333
217387050	Diospyros loureiriana	38.9167	-6.76667
217388174	Diospyros loureiriana	39.2167	-6.68333
217388180	Diospyros loureiriana	37.0833	-7.25
217388011	Diospyros loureiriana	39.4972	-8.95972
217388165	Diospyros loureiriana	39.25	-6.8
217388179	Diospyros loureiriana	38.4667	-5.15
217387255	Diospyros loureiriana	38.8172	-4.84333
217388154	Diospyros loureiriana	37.2	-7.3
217388181	Diospyros loureiriana	38.1333	-8.61667 
