COUNTRY,MAMMALS,BIRDS,REPTILES,AMPHIBIANS,FISH,MOLLUSCS,OTHER_INVERTS,PLANTS,TOTAL2009,TOTAL2008
Afghanistan,11,13,1,1,3,0,1,2,32,32
Albania,3,6,4,2,38,0,4,0,57,52
Algeria,14,11,8,3,31,0,14,3,84,75
American Samoa,1,8,2,0,8,5,52,1,77,77
Andorra,2,0,1,0,2,1,3,0,9,9
Angola,14,19,4,0,29,4,1,26,97,89
Anguilla,1,0,3,0,15,0,10,3,32,31
Antarctica,1,5,0,0,0,0,0,0,6,6
Antigua and Barbuda,2,1,6,0,15,0,11,4,39,38
Argentina,35,50,5,29,37,0,12,44,212,203
Armenia,9,10,7,0,4,0,6,1,37,37
Aruba,3,1,2,0,16,0,1,0,23,22
Australia,55,49,40,47,96,175,287,55,804,788
Austria,4,9,1,0,9,22,21,4,70,70
Azerbaijan,7,15,9,0,9,0,4,0,44,40
"Bahamas, The",7,5,6,0,26,0,11,5,60,54
Bahrain,3,4,4,0,8,0,0,0,19,30
Bangladesh,34,27,20,1,15,0,2,12,111,109
Barbados,3,1,4,0,17,0,10,2,37,35
Byelarus,4,4,0,0,1,0,8,0,17,17
Belgium,3,2,0,0,10,4,8,1,28,27
Belize,7,4,5,6,25,0,12,30,89,85
Benin,10,4,4,0,22,0,1,14,55,47
Bermuda,4,1,2,0,12,0,28,4,51,51
Bhutan,28,16,1,1,0,0,1,7,54,55
Bolivia,19,31,2,34,0,0,1,72,159,161
Bosnia and Herzegovina,4,6,2,1,31,0,10,1,55,51
Botswana,6,8,0,0,2,0,0,0,16,15
Bouvet Island,0,1,0,0,1,0,0,0,2,2
Brazil,82,124,22,30,80,21,24,386,769,738
British Indian Ocean Territory,0,0,2,0,8,0,65,1,76,77
Brunei,35,16,5,3,8,0,1,99,167,171
Bulgaria,7,12,2,0,19,0,7,0,47,45
Burkina Faso,8,5,1,0,0,1,0,2,17,16
Burundi,9,9,0,6,18,1,4,2,49,48
Cambodia,37,23,12,3,28,0,67,31,201,193
Cameroon,41,14,3,53,51,4,14,354,534,514
Canada,12,16,3,1,31,2,10,2,77,72
Cape Verde,3,4,1,0,20,0,0,2,30,28
Cayman Islands,1,1,4,0,16,1,10,2,35,33
Central African Republic,7,5,1,0,0,0,0,15,28,28
Chad,12,7,1,0,0,4,0,2,26,23
Chile,21,33,1,21,20,0,9,40,145,141
China,74,82,29,87,91,8,24,446,841,816
Christmas Island,3,5,3,0,4,0,16,1,32,31
Cocos (Keeling) Islands,2,0,1,0,8,0,17,0,28,27
Colombia,52,90,15,211,37,0,30,223,658,652
Comoros,5,8,2,0,6,0,5,5,31,89
Congo,11,3,2,0,21,1,3,35,76,70
Zaire,29,32,3,13,28,13,11,65,194,190
Cook Islands,1,15,1,0,9,0,25,1,52,50
Costa Rica,8,18,8,60,24,0,27,111,256,250
Ivory Coast,24,14,4,13,26,3,1,105,190,180
Croatia,7,10,2,2,54,0,15,1,91,84
Cuba,14,17,8,49,31,0,15,163,297,294
Cyprus,5,5,4,0,16,0,0,7,37,33
Czech Republic,2,6,0,0,5,2,16,4,35,35
Denmark,2,2,0,0,14,1,10,3,32,31
Disputed Territory (Spratly Islands),0,0,0,0,1,0,0,0,1,1
Djibouti,8,6,0,0,15,0,0,2,31,81
Dominica,3,3,3,2,16,0,11,11,49,48
Dominican Republic,6,14,11,30,18,0,16,30,125,124
Ecuador,43,71,11,171,18,48,14,1835,2211,2208
Egypt,17,10,10,0,35,0,46,2,120,110
El Salvador,5,4,7,10,11,0,6,26,69,64
Equatorial Guinea,18,5,4,4,20,0,2,63,116,107
Eritrea,9,9,6,0,18,0,0,3,45,91
Estonia,1,3,0,0,5,0,4,0,13,12
Ethiopia,31,21,1,9,4,3,11,21,101,101
Falkland Islands (Islas Malvinas),4,10,0,0,4,0,0,5,23,24
Faroe Islands,5,0,0,0,8,0,0,0,13,14
Fiji,6,10,6,1,11,3,87,66,190,190
Finland,1,4,0,0,6,1,9,1,22,21
France,9,6,4,2,37,31,29,8,126,135
French Guiana,6,0,6,3,25,0,0,16,56,52
French Polynesia,1,32,1,0,17,33,26,47,157,149
French Southern & Antarctic Lands,3,13,2,0,3,0,0,0,21,21
Gabon,13,5,3,3,28,0,0,108,160,153
"Gambia, The",9,5,2,0,21,0,0,4,41,36
Georgia,10,10,7,1,13,0,9,0,50,49
Germany,6,6,0,0,21,9,21,12,75,74
Ghana,17,8,4,10,26,0,1,117,183,174
Gibraltar,5,3,0,0,11,2,0,0,21,20
Greece,10,11,8,5,72,1,13,11,131,118
Greenland,6,0,0,0,7,0,0,1,14,13
Grenada,3,1,4,1,16,0,10,3,38,37
Guadeloupe,5,1,6,3,15,1,15,7,53,51
Guam,2,12,2,0,7,6,0,4,33,35
Guatemala,16,12,13,81,20,2,6,83,233,228
Guernsey,0,0,0,0,2,0,0,0,2,3
Guinea,22,12,3,5,31,1,4,22,100,86
Guinea-Bissau,11,2,3,0,28,0,0,4,48,37
Guyana,8,3,5,4,26,0,1,22,69,68
Haiti,5,13,8,46,18,0,14,29,133,130
Heard Island & McDonald Islands,0,10,0,0,1,0,0,0,11,11
Vatican City,1,0,0,0,1,0,0,0,2,2
Honduras,6,8,11,60,22,0,17,110,234,230
Hong Kong,2,15,1,5,10,1,5,6,45,48
Hungary,2,9,1,0,9,1,25,1,48,48
Iceland,5,0,0,0,13,0,0,0,18,17
India,96,75,25,65,64,2,113,247,687,659
Indonesia,185,114,27,32,138,3,241,386,1126,1087
Iran,16,20,12,4,28,0,5,1,86,90
Iraq,13,18,2,1,11,0,2,0,47,55
Ireland,5,1,0,0,19,1,2,1,29,26
"Man, Isle of",0,0,0,0,2,0,0,0,2,3
Israel,15,13,9,1,36,5,7,0,86,127
Italy,7,8,4,9,42,16,42,19,147,138
Jamaica,5,10,9,17,18,0,15,208,282,280
Japan,28,39,12,19,58,25,131,12,324,309
Jersey,0,0,0,0,2,0,0,0,2,3
Jordan,13,8,5,0,13,0,4,0,43,89
Kazakhstan,16,21,1,1,13,0,4,16,72,73
Kenya,27,28,5,7,75,16,12,120,290,311
Kiribati,1,6,1,0,9,1,72,0,90,87
North Korea,9,20,0,1,13,0,2,3,48,43
South Korea,9,28,0,2,18,0,3,0,60,58
Kuwait,6,8,2,0,11,0,0,0,27,39
Kyrgyzstan,6,12,1,0,3,0,3,14,39,40
Laos,46,21,11,5,23,0,3,21,130,115
Latvia,1,3,0,0,7,1,9,0,21,21
Lebanon,10,6,6,0,21,0,3,0,46,40
Lesotho,2,5,0,0,1,0,2,1,11,11
Liberia,20,11,4,4,27,1,8,46,121,111
Libya,12,4,5,0,20,0,0,1,42,36
Liechtenstein,0,0,0,0,0,0,4,0,4,4
Lithuania,3,4,0,0,7,0,6,0,20,19
Luxembourg,0,0,0,0,1,2,2,0,5,5
Macau,0,4,0,0,4,0,0,0,8,10
Macedonia,5,10,2,0,14,0,5,0,36,36
Madagascar,63,35,20,67,83,24,10,279,581,636
Malawi,6,13,0,5,101,9,7,14,155,154
Malaysia,70,42,21,47,59,31,211,685,1166,1141
Maldives,2,0,3,0,15,0,39,0,59,55
Mali,11,6,1,0,2,0,0,6,26,25
Malta,3,3,0,0,13,3,0,3,25,25
Marshall Islands,2,5,1,0,9,1,66,0,84,85
Martinique,2,2,6,2,10,1,0,8,31,31
Mauritania,14,8,3,0,30,0,0,0,55,49
Mauritius,6,11,7,0,12,27,8,88,159,219
Mayotte,1,3,2,0,3,0,2,0,11,68
Mexico,101,55,95,211,127,5,58,248,900,897
Federated States of Micronesia,6,9,3,0,14,4,104,5,145,144
Moldova,4,9,2,0,9,0,3,0,27,27
Monaco,2,0,0,0,9,0,0,0,11,14
Mongolia,11,20,0,0,1,0,3,0,35,36
Montenegro,6,11,2,1,26,0,11,0,57,52
Montserrat,3,2,2,1,14,0,11,3,36,36
Morocco,18,10,11,2,44,0,9,2,96,82
Mozambique,11,22,5,3,53,4,1,50,149,189
Myanmar (Burma),45,39,22,0,28,1,63,38,236,227
Namibia,11,22,4,1,25,0,0,24,87,82
Nauru,1,2,0,0,9,0,62,0,74,73
Nepal,32,32,7,3,1,0,1,7,83,81
Netherlands,4,2,0,0,12,1,5,0,24,23
Netherlands Antilles,4,1,6,0,16,0,11,2,40,39
New Caledonia,9,15,2,0,24,11,86,218,365,355
New Zealand,9,69,12,4,20,5,10,21,150,143
Nicaragua,5,10,8,10,26,2,15,39,115,111
Niger,11,5,0,0,3,1,1,2,23,21
Nigeria,27,12,4,13,30,1,11,171,269,251
Niue,2,8,1,0,7,0,23,0,41,41
Norfolk Island,0,15,2,0,2,12,9,1,41,41
Northern Mariana Islands,5,14,1,0,8,4,47,5,84,85
Norway,7,2,0,0,18,1,8,2,38,34
Oman,9,9,4,0,24,0,4,6,56,74
Pakistan,23,25,10,0,30,0,0,2,90,99
Palau,4,2,2,0,12,5,97,4,126,126
Palestinian Territories,3,7,4,1,1,0,1,0,17,17
Panama,14,18,7,50,26,0,20,194,329,320
Papua New Guinea,41,35,9,11,40,2,168,142,448,446
Paraguay,7,27,2,0,0,0,0,10,46,47
Peru,53,94,6,97,16,0,3,276,545,536
Philippines,39,67,35,48,63,3,210,217,682,641
Pitcairn Islands,2,10,0,0,8,5,10,7,42,40
Poland,5,6,0,0,7,1,15,4,38,37
